Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTest,Chrome 147.0.0.0,,,28-04-2026 15:52:33,28-04-2026 15:53:41,1m - 8.270s,PASSED
,,,,,,,
Test Cases/Data Files,Chrome 147.0.0.0,,,28-04-2026 15:52:33,28-04-2026 15:52:44,10.812s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 147.0.0.0,,,28-04-2026 15:52:33,28-04-2026 15:52:37,3.830s,PASSED
"click(findTestObject(""Field Username""))",Chrome 147.0.0.0,,,28-04-2026 15:52:37,28-04-2026 15:52:39,1.818s,PASSED
"setText(findTestObject(""Field Username""), Username)",Chrome 147.0.0.0,,,28-04-2026 15:52:39,28-04-2026 15:52:39,0.602s,PASSED
delay(1),Chrome 147.0.0.0,,,28-04-2026 15:52:39,28-04-2026 15:52:40,1.029s,PASSED
"click(findTestObject(""Field Password""))",Chrome 147.0.0.0,,,28-04-2026 15:52:40,28-04-2026 15:52:41,0.320s,PASSED
"setText(findTestObject(""Field Password""), Password)",Chrome 147.0.0.0,,,28-04-2026 15:52:41,28-04-2026 15:52:41,0.585s,PASSED
delay(2),Chrome 147.0.0.0,,,28-04-2026 15:52:41,28-04-2026 15:52:43,2.009s,PASSED
"click(findTestObject(""Button Login""))",Chrome 147.0.0.0,,,28-04-2026 15:52:43,28-04-2026 15:52:44,0.354s,PASSED
,,,,,,,
Test Cases/Data Files,Chrome 147.0.0.0,,,28-04-2026 15:52:44,28-04-2026 15:52:53,9.340s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 147.0.0.0,,,28-04-2026 15:52:44,28-04-2026 15:52:47,2.784s,PASSED
"click(findTestObject(""Field Username""))",Chrome 147.0.0.0,,,28-04-2026 15:52:47,28-04-2026 15:52:48,1.759s,PASSED
"setText(findTestObject(""Field Username""), Username)",Chrome 147.0.0.0,,,28-04-2026 15:52:48,28-04-2026 15:52:49,0.583s,PASSED
delay(1),Chrome 147.0.0.0,,,28-04-2026 15:52:49,28-04-2026 15:52:50,1.008s,PASSED
"click(findTestObject(""Field Password""))",Chrome 147.0.0.0,,,28-04-2026 15:52:50,28-04-2026 15:52:50,0.301s,PASSED
